entity_id,company,company_description,sector,subsector,value_chain_tier,bottleneck_risk,policy_exposure,round,deal_type,amount_m,valuation_m,date,date_display,month_year,quarter,year,location,lead_investors,co_investors,related_tickers,robotnik_take,source
fieldai,FieldAI,"Develops field foundation models — robot control software that enables industrial robots to operate in unstructured outdoor environments. Deployed with customers across Japan, Europe, and the US in construction, mining, and inspection applications.",Robotics,Software & Simulation,Software & Services,Medium,None,Series B,venture,405,2000,2025-08-20,20-Aug-25,Aug-25,3Q25,2025,"USA (Irvine, CA)","Bezos Expeditions, Prysm, Temasek","BHP Ventures, Canaan Partners, Emerson Collective, Intel Capital, Khosla Ventures, NVentures (NVIDIA), Gates Frontier, Samsung",ROBOT,"$405M Series B at $2.0B post (valuation quadrupled) — FieldAI is the field-foundation-model bet for unstructured outdoor environments, robot-agnostic comp to Skild AI and Physical Intelligence on the brain-licensing side. Bezos Expeditions + Prysm + Temasek leading with BHP Ventures and NVentures (NVDA) reads as crossover-plus-strategic capital. BHP participation flags mining as the near-term commercial channel. Binary: converting construction/mining pilots into recurring deployments before licensing margins compress.",https://techcrunch.com/2025/08/20/fieldai-raises-405m-to-build-universal-robot-brains/
fourier-intelligence,Fourier Intelligence,Chinese humanoid robot developer behind the GR-2 platform. Also operates a rehabilitation robotics business line for clinical use.,Robotics,Humanoid & Service Robots,System Integration,Medium,China_Made_In_China_2025,Series E+,venture,42.0,,2025-08-20,20-Aug-25,Aug-25,3Q25,2025,China (Shanghai),Chinese VCs,,,"$42M Series E+ on top of the Jan-2025 Series E at $1.1B post — Fourier is a Chinese humanoid unicorn alongside Unitree, Galbot, Agibot, and Robot Era, with Tesla (TSLA) Optimus and Figure on the Western reference. Smaller follow-on size signals tactical bridge capital, not a new pricing event. Rehabilitation-robotics revenue remains the differentiator versus pure-play humanoid peers. Binary: GR-2 commercial pilots converting while rehab cashflow funds the runway.",https://stcn.com/article/detail/1846047.html
paragraf,Paragraf,"UK Cambridge spinout producing graphene-based electronic components — Hall effect sensors, field-effect transistors, and other devices — using wafer-scale graphene manufacturing. Targets quantum, healthcare, and high-performance electronics applications.",Semiconductors,Fabless Design,IP & Design,Medium,UK_NSI_Act,Series C,venture,55,,2025-08-25,25-Aug-25,Aug-25,3Q25,2025,United Kingdom (Cambridgeshire),Mubadala,,,"$55M Series C from Mubadala — Paragraf is the wafer-scale graphene-electronics bet in a segment with no listed pure-play comp. Adjacencies: Allegro MicroSystems (ALGM) and Melexis (MELE BR) on Hall-effect sensor incumbents, plus Infineon (IFX DE) on the broader sensing stack. Mubadala lead reads as Abu Dhabi sovereign-deeptech capital, pulling Paragraf toward Gulf strategy. Binary: graphene Hall sensors and FETs hitting volume design-wins in quantum and medical before categorical novelty exhausts patient capital.",https://tech.eu/2025/08/25/paragraf-closes-55m-series-c-funding-round/
commonwealth-fusion-systems,Commonwealth Fusion Systems,"Develops a compact tokamak fusion reactor (SPARC, then ARC) using high-temperature superconducting (HTS) magnets to achieve net energy gain in a smaller footprint than ITER-class designs. MIT Plasma Science and Fusion Center spinout building its first commercial plant in Devens, Massachusetts.",Materials,Structural Materials,Upstream Materials,Medium,US_DOE_LPO_Eligible,Series B2,venture,863,,2025-08-28,28-Aug-25,Aug-25,3Q25,2025,"USA (Devens, MA)",,"Broad consortium of existing investors, Brevan Howard, Counterpoint Global, Druckenmiller, NVentures (NVIDIA)",,"$863M Series B2 — Commonwealth is now the most-capitalized private fusion play, against Helion ($1B+ cumulative, MSFT PPA-anchored), Proxima Fusion stellarator, TAE, and Marvel Fusion on the broader cohort. Brevan Howard, Druckenmiller, Counterpoint Global, NVentures (NVDA) co-investing reads as crossover-plus-strategic capital with no named lead — investor-broad rather than concentrated. SPARC tokamak in Devens is the binary engineering test against Helion's 2028 commercial timeline.",https://cfs.energy/news-and-media/commonwealth-fusion-systems-raises-863-million-series-b2-round-to-accelerate-the-commercialization-of-fusion-energy/
blue-water-autonomy,Blue Water Autonomy,Builds full-sized autonomous unmanned ships for the US Navy. Targets the Pentagon's $2.1B Medium Unmanned Surface Vessel (MUSV) program; backed by GV.,Robotics,Autonomous Systems & Drones,System Integration,Pre-commercial,US_DPA_Title_III,Series A,venture,50,,2025-08-26,26-Aug-25,Aug-25,3Q25,2025,"USA (Boston, MA)",GV (Google Ventures),"Eclipse Ventures, Riot Ventures, Impatient Ventures",,"$50M Series A funds full-sized autonomous unmanned-surface-vessel development for US Navy MUSV program ($2.1B Pentagon obligation). Comp set: Saronic (private) on smaller-tonnage USV, L3Harris (LHX) on incumbent USV prime, Anduril Dive-LD on subsurface. Pentagon hedge against PLAN amphibious posture in the Indo-Pacific is the strategic frame; first Navy contract award is the binary commercial catalyst.",https://fortune.com/2025/08/26/exclusive-blue-water-autonomy-raises-gv-led-50-million-series-a-to-build-unmanned-ships/
aerospacelab,Aerospacelab,Belgian satellite manufacturer building a megafactory with 500 satellites per year of capacity. Bidder for the EU's IRIS² constellation; competes with Airbus OneWeb Satellites and other European smallsat manufacturers.,Space,Satellite Communications,Deployment & Operation,Medium,None,Series B (extension),venture,110,,2025-08-26,26-Aug-25,Aug-25,3Q25,2025,Belgium (Charleroi),European Investment Bank,New and existing investors,SATS,"€110M Series B extension funds Belgian megafactory targeting 500 sats/year capacity — the European sovereign-satellite-bus play. Comp set: York Space and Apex Space on US productized buses, Astranis (private) on small-GEO, Airbus and Thales on incumbent EU primes. IRIS2 constellation award is the binary near-term contract; if won, Aerospacelab becomes the EU answer to SpaceX Starshield manufacturing tempo.",https://www.aerospacelab.com/blog/press-releases-1/aerospacelab-secures-94-million-eur-110-million-usd-to-accelerate-its-ambitious-roadmap-35
openlight,OpenLight,Designs custom photonic chips with a process design kit (PDK) library including a 400G modulator and indium phosphide heterogeneously integrated lasers. Targets the AI optical interconnect layer alongside Ayar Labs and Marvell/Broadcom photonics.,Semiconductors,Fabless Design,IP & Design,Pre-commercial,US_CHIPS_Act,Series A,venture,34,,2025-08-26,26-Aug-25,Aug-25,3Q25,2025,USA,"Xora Innovation, Capricorn Investment Group","Mayfield Fund, Juniper Networks (HPE), Lam Capital, New Legacy Ventures, K2 Access",,"$34M Series A — OpenLight is the silicon-photonics PDK bet with integrated InP lasers, against Ayar Labs (private) and Lightmatter on direct competition, plus Marvell (MRVL) and Broadcom (AVGO) on in-house hyperscaler photonics. Synopsys (SNPS) spinout heritage is the structural advantage — PDK distribution rather than chip sale. Xora + Capricorn leading with Juniper/HPE (HPE) signals data-center supply-chain alignment. Binary: PDK adoption by a tier-1 ASIC designer before MRVL/AVGO consolidate in-house photonics.",https://openlightphotonics.com/newsroom/openlight-raises-34m-series-a-to-scale-next-gen-integrated-photonics-for-ai-data-centers
nanopower-semiconductor,Nanopower Semiconductor,Norwegian designer of subthreshold power management ICs (the nPZero chip) for battery-powered and energy-harvesting IoT devices.,Semiconductors,Power & Analog,IP & Design,Pre-commercial,None,Series A,venture,10.2,,2025-09-07,7-Sep-25,Sep-25,3Q25,2025,Norway (Kristiansand),"EIC Fund, Big Sur Ventures, Skagerak Capital","Blystad Group, Borgen",,"$10.2M Series A — Nanopower's nPZero subthreshold PMIC targets the IoT and energy-harvesting niche where Texas Instruments (TXN), STMicroelectronics (STM), and Renesas (6723 JP) sell standard low-power PMICs. Sub-threshold operation is the technical wedge for sub-microwatt sensor nodes. EIC Fund lead reads as Nordic deeptech alignment. Sub-$25M tail. Binary: a single tier-1 IoT customer design-win before incumbents add subthreshold modes natively.",https://nanopowersemi.com/news/nanopower-semiconductor-as-closes-eur-9.4-million-equity-financing
x-square-robot,X Square Robot,"Chinese embodied-intelligence startup developing household robots, including the WALL-A multimodal transformer for control and the WALL-B platform targeted at consumer home rollout. Strategic backing from Xiaomi.",Robotics,Humanoid & Service Robots,System Integration,Pre-commercial,China_Made_In_China_2025,Series A,venture,140,,2025-09-08,8-Sep-25,Sep-25,3Q25,2025,China (Shenzhen),Alibaba Cloud,"HongShan, Meituan, Legend Star, Legend Capital, INCE Capital",,"$140M Series A — X Square Robot is the Alibaba Cloud-backed Chinese embodied-AI bet behind WALL-A multimodal transformer and WALL-B consumer-home platform, against Unitree, Galbot, Agibot, Robot Era, and Galaxea on the Chinese humanoid cohort. Alibaba lead with HongShan, Meituan, and Legend Capital reads as hyperscaler-plus-internet-economy alignment, distinct from state-aligned peers. Binary: WALL-B consumer-home deliveries demonstrating Chinese household robotics has real commercial pull.",https://www.cnbc.com/2025/09/08/alibaba-leads-100-million-investment-in-chinese-humanoid-robot-startup.html
proteantecs,proteanTecs,"Israeli chip telemetry company providing embedded on-chip agents that collect lifecycle data for predictive monitoring and yield management. Sells to fabless, foundry, and OEM customers across the chip-design pipeline.",Semiconductors,EDA & IP,IP & Design,Medium,None,Series D,venture,51,,2025-09-09,9-Sep-25,Sep-25,3Q25,2025,Israel (Haifa),IAG Capital Partners,"Samsung Catalyst Fund, Arm, Siemens, Addition, Zeev Ventures, MediaTek, Intel Capital, Porsche, Koch Disruptive",,"$51M Series D funds embedded-agent silicon-lifecycle telemetry platform — picks-and-shovels for AI/auto chip reliability. Comp set: PDF Solutions (PDFS) on listed silicon-yield-management, Synopsys (SNPS) Silicon.da and Cadence (CDNS) on adjacent EDA, no real pure-play. Hyperscaler + auto Tier-1 customer roster validates SLM thesis; AMD/Intel/Nvidia GPU reliability concerns are the binary demand catalyst.",https://siliconangle.com/2025/09/10/computer-chip-performance-optimization-startup-proteantecs-raises-51m/
scintil-photonics,Scintil Photonics,French silicon photonic IC maker with integrated lasers for co-packaged optics in AI data centers. Flagship LEAF Light DWDM-native light engine enables high-speed optical interconnects between AI accelerators.,Semiconductors,Fabless Design,IP & Design,Medium,EU_Chips_Act,Series B,venture,58,,2025-09-09,09-Sep-25,Sep-25,3Q25,2025,France (Grenoble),"Yotta Capital Partners, NGP Capital","NVentures (NVIDIA), BNP Paribas Developpement, Supernova Invest, Bpifrance, Innovacom, Bosch Ventures, Applied Ventures ITIC",,"$58M Series B — Scintil is the French silicon-photonics PIC bet on co-packaged optics for AI data centers, against Ayar Labs and Lightmatter on direct competition, plus Marvell (MRVL) and Broadcom (AVGO) on in-house hyperscaler photonics. LEAF Light DWDM-native light engine is the technical pitch. Yotta + NGP leading with NVentures (NVDA) and Bosch Ventures reads as strategic-supply-chain capital. Binary: tier-1 ASIC design-win before MRVL/AVGO consolidate in-house photonics.",https://www.scintil-photonics.com/post/scintil-photonics-raises-58m-to-scale-integrated-photonics-for-ai-factories
psiquantum,PsiQuantum,"Develops a fault-tolerant photonic quantum computer using silicon photonics manufactured on standard CMOS processes. Operates a cryogenic R&D facility in Daresbury, UK developing the high-power dilution refrigeration systems needed to scale to million-qubit machines.",Semiconductors,Fabless Design,IP & Design,Critical,US_CHIPS_Act,Series E,venture,1000,7000,2025-09-10,10-Sep-25,Sep-25,3Q25,2025,"USA (Palo Alto, CA)","BlackRock, Temasek, Baillie Gifford","Macquarie Capital, NVentures (NVIDIA), QIA, Ribbit Capital, Adage Capital, Morgan Stanley, T. Rowe Price",NVDA,"$1.0B Series E at $7.0B post — PsiQuantum is the photonic-quantum leader against IonQ (IONQ), Rigetti (RGTI), and D-Wave (QBTS) on the public-quantum tape, plus QuEra and Infleqtion on neutral-atom. NVIDIA (NVDA) first investment in physical quantum hardware is the modality-hedging signal. BlackRock + Temasek + Baillie Gifford leading with QIA and T. Rowe is IPO-prep crossover capital. Brisbane and Chicago groundbreaking. Binary: first fault-tolerant photonic logical qubit on schedule.",https://thequantuminsider.com/2025/09/10/psiquantum-raises-1-billion-to-build-million-qubit-scale-fault-tolerant-quantum-computers/
cuspai,CuspAI,"Builds an AI search engine for molecules and materials discovery, targeting applications in semiconductors, automotive, and energy. Former ASML president serves on the board.",Materials,Silicon & Substrates,Software & Services,Pre-commercial,None,Series A,venture,100,520,2025-09-10,10-Sep-25,Sep-25,3Q25,2025,United Kingdom (Cambridge),"NEA, Temasek","Samsung Ventures, Hyundai Motor, NVentures (NVIDIA), Basis Set Ventures, Prosus, Northzone, LocalGlobe",ASML,"$100M Series A at $520M post — CuspAI is the AI-search-for-molecules bet against Lila Sciences on the closed-loop AI+lab side, plus Schrodinger (SDGR) on the in-silico stack. Former ASML (ASML) president on the board reads as semiconductor-materials commercial pull. NEA + Temasek leading with Samsung Ventures, Hyundai Motor, and NVentures (NVDA) reads as multi-industry strategic alignment. Binary: a tier-1 semi or battery materials design-win demonstrating commercial-grade discovery.",https://siliconangle.com/2025/09/10/cuspai-raises-100m-build-ai-search-engine-transform-materials-science/
hive-robotics,Hive Robotics,"German developer of command-and-control architecture for cross-domain robot swarms across air, land, sea, and space domains. Targets defense and disaster response applications.",Robotics,Autonomous Systems & Drones,System Integration,Pre-commercial,None,Pre-Seed,venture,2.2,,2025-09-11,11-Sep-25,Sep-25,3Q25,2025,Germany (Munich),b2venture,"Firedrop, Pareto, Matthias Hilpert, Klocke Group",ROBOT,"$2.2M pre-seed — Hive is the German cross-domain swarm C3 bet, adjacent to Anduril (private) Lattice and Shield AI Hivemind on the autonomy-stack side, with Helsing on the European AI-defense reference. Swarm coordination across air, land, sea, space is a multi-decade DARPA-class thesis. b2venture lead reads as German Mittelstand-aligned deeptech. Sub-$25M tail by an order of magnitude. Binary: any operational NATO or disaster-response pilot before incumbents bundle equivalent C3 natively.",https://tech.eu/2025/09/11/hive-robotics-secures-eur2m-to-democratize-robot-collaboration-across-air-land-sea-and-space/
apex,Apex,"Manufactures productized satellite buses (Aries 100 kg class, Nova 200 kg class, Comet) for commercial and government customers. Targets cycle-time and cost reductions through standardized, mass-produced platforms rather than custom satellite designs.",Space,Satellite Communications,Deployment & Operation,Medium,US_DPA_Title_III,Series D,venture,200,1000,2025-09-12,12-Sep-25,Sep-25,3Q25,2025,"USA (Los Angeles, CA)",Interlagos,"Andreessen Horowitz, Point72 Ventures, 8VC",,"$200M Series D at $1.0B post — Apex becomes a satellite-bus unicorn in three years, productizing buses against Lockheed Martin (LMT), Northrop (NOC), and Maxar on incumbents, plus Rocket Lab (RKLB) on vertically integrated smallsat. Interlagos lead with Andreessen Horowitz, Point72, and 8VC reads as crossover-plus-defense-tech alignment. 50% capacity expansion targets the SDA constellation procurement window. Binary: hitting unit-volume targets before SDA closes to a smaller vendor set.",https://spacenews.com/apex-reaches-billion-dollar-valuation-with-series-d-funding-round/
figure-ai,Figure AI,"Builds general-purpose humanoid robots for commercial and industrial work. Develops both the hardware platform and AI models in-house, with a collaboration agreement with OpenAI for frontier model integration.",Robotics,Humanoid & Service Robots,System Integration,Medium,None,Series C,venture,1000,39000,2025-09-16,16-Sep-25,Sep-25,3Q25,2025,"USA (San Jose, CA)",Parkway Venture Capital,"Brookfield, NVentures (NVIDIA), Macquarie, Intel Capital, LG Tech Ventures, Salesforce, T-Mobile, Qualcomm",,"$1.0B Series C at $39.0B post — Figure is now the highest-valued Western humanoid by ~3x, against Apptronik (~$1.5B post), 1X, Agility, and Tesla (TSLA) Optimus. 15x valuation step in 18 months prices Figure as the pure-play AI-humanoid winner. Parkway leading with Brookfield, NVentures (NVDA), Macquarie, Intel Capital, LG, Salesforce, and Qualcomm reads as strategic-customer-and-infrastructure consortium. OpenAI model collaboration is the differentiator. Binary: BotQ scale plus commercial deployments must deliver to hold the $39B multiple.",https://www.figure.ai/news/series-c
groq,Groq,"Designs the Language Processing Unit (LPU), a custom inference accelerator optimized for large language models, and operates GroqCloud as a hosted inference service. Targets developers and enterprises looking for faster, lower-cost inference than GPU-based stacks.",Semiconductors,Fabless Design,System Integration,High,US_CHIPS_Act,Series E,venture,750,6900,2025-09-17,17-Sep-25,Sep-25,3Q25,2025,"USA (San Jose, CA)",Disruptive,"BlackRock, Neuberger Berman, DTCP, Samsung, Cisco, D1, Altimeter Capital, 1789 Capital, Infinitum",,"$750M Series E at $6.9B post (oversubscribed against $600M target) — Groq is the LPU-inference bet against NVIDIA (NVDA), Cerebras (IPO filed), SambaNova, and AMD (AMD) on the accelerator stack. 2M+ developers on GroqCloud is the cleanest non-GPU commercial-traction datapoint. Disruptive leading with BlackRock, Samsung, Cisco, and Altimeter reads as IPO-prep crossover capital. Binary: GroqCloud revenue scaling against NVIDIA Blackwell's inference roadmap and Cerebras's parallel IPO trajectory.",https://groq.com/newsroom/groq-raises-750-million-as-inference-demand-surges
geespace,GeeSpace,"Geely-backed Chinese satellite operator building an LEO constellation for IoT and connectivity services, with a planned 6,012-satellite target. The first 72 satellites of Phase 1 are in orbit. State-backed Chinese alternative to Iridium and Globalstar IoT networks.",Space,Satellite Communications,Deployment & Operation,Pre-commercial,China_Made_In_China_2025;US_Export_Controls_China,Undisclosed,venture,281,,2025-09-19,19-Sep-25,Sep-25,3Q25,2025,China (Hangzhou),"Zhejiang Financial Holdings, Hangzhou SOE Capital",Zhejiang NEV Industry Fund,SATS,"$281M undisclosed round from Zhejiang state capital — GeeSpace is the Geely-backed Chinese IoT-satellite bet against Iridium (IRDM), Globalstar (GSAT), and ORBCOMM on the Western IoT-satcom stack, with AST SpaceMobile (ASTS) on broader connectivity. 6,012-satellite target with 72 in orbit puts GeeSpace second to Starlink in Chinese constellation ambition. Zhejiang Financial Holdings reads as municipal-state alignment, not commercial venture. Binary: Phase 1 cadence and international IoT customer signing.",https://spacenews.com/geespace-secures-281-million-for-iot-constellation-and-global-hq/
morse-micro,Morse Micro,"Australian fabless designer of Wi-Fi HaLow silicon for long-range, low-power IoT applications. Sells chips for smart-home, agriculture, and industrial IoT use cases requiring sub-GHz Wi-Fi.",Semiconductors,Fabless Design,IP & Design,Medium,None,Series C,venture,59,350,2025-09-22,22-Sep-25,Sep-25,3Q25,2025,Australia (Sydney),MegaChips,"National Reconstruction Fund Corp (AU), Blackbird, Main Sequence, Uniseed",,"$59M Series C at $350M post — Morse Micro is the Wi-Fi HaLow fabless bet for long-range, low-power IoT, against Espressif (688018 CH), Silicon Labs (SLAB), and Nordic Semiconductor (NOD NO) on the broader low-power-connectivity stack. MegaChips (6875 JP) lead reads as Australian-Japanese strategic alignment. Sub-GHz Wi-Fi HaLow is a structurally distinct standard. Binary: tier-1 design-wins before Espressif or SLAB bundle HaLow into existing low-power Wi-Fi roadmaps.",https://www.morsemicro.com/2025/09/23/morse-micro-secures-88-million-aud-series-c-funding/
empower-semiconductor,Empower Semiconductor,Designs integrated voltage regulators (FinFast IVRs) for power delivery to AI processors and high-performance SoCs. Targets data center customers looking to reduce energy footprint and total cost of ownership at the rack level.,Semiconductors,Power & Analog,IP & Design,Medium,US_CHIPS_Act,Series D,venture,140,,2025-09-22,22-Sep-25,Sep-25,3Q25,2025,USA (Silicon Valley),Fidelity Management & Research,"Maverick Silicon, CapitalG, Atreides Management, Socratic Partners, Walden Catalyst Ventures, Knollwood, ADIA",,"$140M Series D — Empower's FinFast IVR targets the AI-processor power-delivery layer where Monolithic Power (MPWR), Texas Instruments (TXN), Infineon (IFX DE), and Vicor (VICR) sell conventional IVRs. AI-accelerator power density is the structural driver. Fidelity lead with CapitalG, Maverick Silicon, and Atreides reads as growth-stage crossover. Binary: a single hyperscaler-class GPU or ASIC adopting FinFast as rack-level IVR before MPWR rolls equivalent density into its incumbent stack.",https://siliconangle.com/2025/09/22/empower-semiconductor-raises-140m-power-management-chips/
galactic-energy,Galactic Energy,"Chinese commercial launch company operating the Ceres-1 small solid-propellant rocket and developing the Pallas-1 reusable medium-lift methalox vehicle. Competes with iSpace, LandSpace, and Space Pioneer for state-backed commercial launch market share.",Space,Launch,Deployment & Operation,Medium,China_Made_In_China_2025;US_Export_Controls_China,Series D,venture,336,,2025-09-28,28-Sep-25,Sep-25,3Q25,2025,China (Beijing),,,,"$336M Series D — largest Chinese private space round of 2025, with IPO guidance filed October. Galactic Energy is the Ceres-1 solid plus Pallas-1/2 reusable methalox bet, against LandSpace, iSpace, Space Pioneer, and Orienspace on the Chinese launch cohort, with Rocket Lab (RKLB) and SpaceX on the Western reference. Pallas-1 reusable methalox is the technical differentiator versus solid-only Chinese peers. Binary: Pallas-1 first flight before IPO window closes.",https://aviationweek.com/space/commercial-space/chinese-launch-startup-galactic-energy-raises-336-million
cerebras-systems,Cerebras Systems,"Designs wafer-scale AI processors and the systems that ship around them, including the CS-3 supercomputer and on-premises and cloud inference offerings. The wafer-scale approach packages an entire silicon wafer into a single chip with 900,000+ cores, targeting large-model training and inference workloads.",Semiconductors,Fabless Design,System Integration,High,US_CHIPS_Act,Series G,venture,1100,8100,2025-09-30,30-Sep-25,Sep-25,3Q25,2025,"USA (Sunnyvale, CA)","Fidelity Management & Research, Atreides Management","Tiger Global Management, Valor Equity Partners, 1789 Capital, Altimeter Capital, Alpha Wave, Benchmark",,"$1.1B Series G at $8.1B post (oversubscribed; IPO filed but delayed on CFIUS review) — Cerebras is the wafer-scale AI bet against NVIDIA (NVDA), Groq, SambaNova, and AMD (AMD) on the inference/training stack. Revenue scaling from $6M to $70M in one year is the strongest commercial-growth datapoint in the non-GPU cohort. Fidelity + Atreides leading with Tiger Global, Valor, and Altimeter reads as IPO-prep crossover capital. Binary: IPO clearance plus revenue durability against Blackwell-driven inference price compression.",https://techcrunch.com/2025/09/30/a-year-after-filing-to-ipo-still-private-cerebras-systems-raises-1-1b/
commcrete,Commcrete,"Israeli developer of satellite communications modem technology for direct-to-device connectivity, particularly compact tactical satcom systems for defense and tactical use.",Space,Satellite Communications,Deployment & Operation,Pre-commercial,None,Series A,venture,21,,2025-09-30,30-Sep-25,Sep-25,3Q25,2025,Israel,Undisclosed,,,"$21M Series A undisclosed lead — Commcrete is the Israeli compact-tactical satcom modem bet for direct-to-device connectivity, adjacent to Iridium (IRDM) and Globalstar (GSAT) on LEO IoT and Viasat (VSAT) on conventional satcom. D2D is the converging segment where Apple (AAPL), Qualcomm (QCOM), and AST SpaceMobile (ASTS) are racing for handset integration. Sub-$25M tail. Binary: defense-procurement validating the tactical-satcom niche before commercial D2D competitors scale.",https://www.armadainternational.com/2025/10/commcrete-raises-21m-series-a-to-scale-its-ultra-compact-tactical-satcom-systems-driven-by-growing-demand/
quilter,Quilter,"Builds physics-driven AI software for fully autonomous printed circuit board (PCB) design, automating component placement, routing, and verification. Customers include Fortune 500 aerospace, defense, and consumer electronics companies.",Semiconductors,EDA & IP,IP & Design,Medium,US_CHIPS_Act,Series B,venture,25,,2025-10-07,07-Oct-25,Oct-25,4Q25,2025,USA,Index Ventures,"Benchmark, Coatue, Root Ventures, Lip-Bu Tan",,"$25M Series B — Quilter is the autonomous PCB-design bet against Cadence (CDNS), Synopsys (SNPS), and Altium (now part of Renesas, 6723 JP) on the incumbent PCB-EDA stack, plus Cognichip on the physics-AI-EDA adjacency. Index Ventures leading with Benchmark, Coatue, and Lip-Bu Tan (former Cadence CEO) angel reads as deeptech conviction with insider validation. Fortune 500 aerospace, defense, consumer-electronics customers is the commercial datapoint. Binary: RL-driven placement at scale before CDNS/SNPS bundle equivalent AI.",https://www.quilter.ai/blog/series-b
cyberwave,Cyberwave,Italian developer of a digital twin marketplace that enables plug-and-play AI for robotic cells in manufacturing and logistics. Targets smaller integrators alongside Siemens Xcelerator and Rockwell Plex.,Robotics,Software & Simulation,Software & Services,Pre-commercial,None,Seed,venture,7.7,,2025-10-08,08-Oct-25,Oct-25,4Q25,2025,Italy (Milan),United Ventures,"The TechShop, Vento (Exor), Pi Campus","ROK, SIE GR, 6954 JP","$7.7M seed — Cyberwave is the Italian digital-twin marketplace bet for plug-and-play robotic-cell AI, against Siemens (SIE GR) Xcelerator and Rockwell (ROK) Plex on factory-digitalization incumbents, with FANUC (6954 JP) and ABB (ABB) on industrial-robot OEM channels. Smaller-integrator focus is the wedge versus enterprise-first incumbents. United Ventures + Pi Campus leading with Vento (Exor) reads as Italian deeptech alignment. Sub-$25M tail. Binary: SMB-integrator traction before Siemens captures the long tail.",https://www.eu-startups.com/2025/10/milan-based-cyberwave-secures-e7-million-to-simplify-ai-driven-automation
stoke-space,Stoke Space,"Develops Nova, a fully reusable two-stage medium-lift rocket. Both stages are designed to return and land for refurbishment. Targets US national security launch contracts (NSSL Phase 3 Lane 1) alongside commercial customers.",Space,Launch,Deployment & Operation,High,US_DPA_Title_III,Series D,venture,510.0,,2025-10-08,08-Oct-25,Oct-25,4Q25,2025,"USA (Kent, WA)",US Innovative Technology Fund,"776, Breakthrough Energy, Glade Brook Capital, Industrious Ventures, NFX, Sparta Group, Toyota Ventures, Woven Capital, SVB",RKLB,"$510M Series D — Stoke is the fully-reusable two-stage medium-lift bet against Rocket Lab (RKLB) Neutron and SpaceX Falcon 9 on the active competitive stack, plus Relativity Space and Blue Origin on the broader new-launch cohort. Both stages designed to return is the structural differentiation versus partial-reuse incumbents. US Innovative Technology Fund lead with Breakthrough Energy and Toyota Ventures reads as government-aligned launch-sovereignty capital. Binary: first Nova flight test before NSSL Lane 1 award cycle closes.",https://spacenews.com/stoke-space-raises-510-million/
havocai,HavocAI,Builds autonomous surface vessels across four size classes from 14 to 100 feet for US Navy and DoD missions. Backed by In-Q-Tel; competes with L3Harris and Textron in unmanned maritime systems.,Robotics,Autonomous Systems & Drones,System Integration,Pre-commercial,US_DPA_Title_III,Undisclosed,venture,85.0,,2025-10-10,10-Oct-25,Oct-25,4Q25,2025,USA,"In-Q-Tel, B Capital","Lockheed Martin, Hanwha, Taiwania, Vanderbilt University, UP Partners","LHX, TXT","$85M undisclosed-stage round — HavocAI is the ASV bet across four size classes (14-100 ft) for US Navy MUSV, against L3Harris (LHX) and Textron (TXT) on incumbent unmanned-maritime, plus Saronic, Blue Water Autonomy, and Anduril Dive-LD on the new-defense-prime cohort. In-Q-Tel + B Capital leading with Lockheed Martin (LMT) and Hanwha reads as IC-and-prime-aligned capital. Binary: MUSV program-of-record contract before Saronic or incumbents consolidate the procurement category.",https://fortune.com/2025/10/09/havocai-85-million-autonomous-vessels-funding/
revolute-robotics,Revolute Robotics,Develops 3D vision systems for robotic welding and manufacturing inspection. Competes with Cognex and Keyence in machine vision.,Robotics,Machine Vision & Sensors,Components & Subsystems,Pre-commercial,US_DPA_Title_III,Seed,venture,1.9,,2025-10-10,10-Oct-25,Oct-25,4Q25,2025,"USA (Scottsdale, AZ)","ANIMO Ventures, Ascend",MassRobotics Accelerator ($100K),"CGNX, 6861 JP","$1.9M seed — Revolute is the 3D-vision-for-welding niche against Cognex (CGNX) and Keyence (6861 JP) on the machine-vision incumbent stack, plus FANUC (6954 JP) and Yaskawa (6506 JP) on welding-robot OEM channels. ANIMO + Ascend dual lead with MassRobotics Accelerator reads as defense-adjacent regional capital. Sub-$25M tail by an order of magnitude. Binary: integration partnership with a welding-robot OEM before CGNX or 6861 JP add equivalent 3D-welding software natively.",https://www.therobotreport.com/revolute-robotics-brings-in-1-9m-deploy-driving-flying-robots/
magics-technologies,MAGICS Technologies,"Belgian designer of ultra-low-power RISC-V processors with integrated MRAM for edge AI inference. Competes with Ambiq, Syntiant, and Renesas in the edge MCU space.",Semiconductors,Fabless Design,IP & Design,Pre-commercial,EU_Chips_Act,Series A,venture,4.65,,2025-10-13,13-Oct-25,Oct-25,4Q25,2025,Belgium (Leuven),PMV,"SC One, KU Leuven R&D, Gemma Frisius Fund, Invest for Jobs, SCK CEN",ARM,"€4.65M Series A — MAGICS is the Belgian ultra-low-power RISC-V plus MRAM bet for edge AI inference, against ARM (ARM) on the licensed-architecture incumbent, Renesas (6723 JP) and STMicroelectronics (STM) on edge MCU incumbents, plus Ambiq and Syntiant on the AI-MCU specialist cohort. PMV lead with KU Leuven R&D reads as Flemish-IMEC ecosystem capital. Sub-$25M tail. Binary: tier-1 wearable or IoT-endpoint design-win before ARM extends MCU IP into native MRAM integration.",https://www.magics.tech/news/magics-capital-round
