entity_id,company,company_description,sector,subsector,value_chain_tier,bottleneck_risk,policy_exposure,round,deal_type,amount_m,valuation_m,date,date_display,month_year,quarter,year,location,lead_investors,co_investors,related_tickers,robotnik_take,source
starfish-space,Starfish Space,Develops satellite servicing and docking technology for in-orbit life extension and inspection. Otter is the flagship servicing vehicle; won a US Space Force contract for an SDA-tier mission.,Space,In-Orbit Services,Deployment & Operation,Medium,US_DPA_Title_III,Series B,venture,110,,2026-04-07,7-Apr-26,Apr-26,2Q26,2026,USA,"Point72 Ventures, Activate Capital, Shield Capital",,,"Point72 Ventures + Activate + Shield co-leading reads as a defense-tech consortium, not financial growth — Starfish is being underwritten on the Space Force Otter contract and SDA's pivot toward active proximity operations. Comp set: Astroscale (186A JP) on the Japanese public side, ClearSpace and D-Orbit on debris/servicing, Northrop's MEV on heritage GEO life-extension; True Anomaly is the closest US pure-play on offensive proximity ops. Orbital servicing has bifurcated into weak commercial life-extension and strong SDA proximity ops — Starfish is pivoting to the latter.",https://www.starfishspace.com/press-release/starfish-space-raises-over-100-million-series-b/
cognichip,Cognichip,"Develops physics-informed AI for chip design under the Artificial Chip Intelligence (ACI) platform, claiming around 75% cost reduction and 50% faster development timelines on chip projects. Competes with Synopsys and Cadence AI design tools.",Semiconductors,EDA & IP,IP & Design,Pre-commercial,US_CHIPS_Act,Series A,venture,60,,2026-04-01,01-Apr-26,Apr-26,2Q26,2026,"USA (Redwood City, CA)",Seligman Ventures,Intel CEO Lip-Bu Tan (board member),,"Lip-Bu Tan on the board is more interesting than Seligman Ventures leading — the sitting Intel CEO underwriting an AI-for-chip-design startup signals INTC is sourcing design productivity gains externally rather than building in-house. Comp set: Synopsys (SNPS) DSO.ai and Cadence (CDNS) Cerebrus on the EDA-incumbent side; Quilter, Astrus, Silimate, and ChipAgents on the AI-EDA startup side. AI-EDA is bifurcating into cycle compression (Cognichip) and agent automation (ChipAgents). $93M cumulative is light vs the EDA majors.",https://techcrunch.com/2026/04/01/cognichip-wants-ai-to-design-the-chips-that-power-ai-and-just-raised-60m-to-try/
qboson,QBoson,"Chinese photonic quantum computing company with 100-, 550-, and 1,000-qubit systems already deployed. Customers include the National Supercomputing Center Chengdu and China Mobile; building a pilot chip production line for photonic quantum components.",Semiconductors,Frontier Compute,IP & Design,Medium,China_Big_Fund;US_Export_Controls_China,Series B,venture,145,,2026-04-03,03-Apr-26,Apr-26,2Q26,2026,China (Beijing),"Beijing Financial Holdings Group, ICBC Capital",State-backed and institutional investors,,"Beijing Financial Holdings + ICBC Capital leading a photonic-quantum round signals Beijing is hedging across qubit modalities — superconducting (SpinQ), photonic (QBoson), and ion-trap programs all being funded in parallel rather than picking a winner. Comp set: PsiQuantum (US photonic), QuEra (US neutral atoms), QuantumCTek (688027) on the public Chinese side. National Supercomputing Center Chengdu and China Mobile as named customers is unusually concrete. The pilot chip line distinguishes QBoson from research-grade peers.",https://thequantuminsider.com/2026/04/06/chinese-quantum-startup-qboson-raises-145-million-to-scale-chip-production/
q-factor,Q-Factor,Israeli neutral-atom quantum computing company spun out of Weizmann Institute and Technion. Architecture designed to scale from thousands to millions of qubits using optically trapped atom arrays.,Semiconductors,Frontier Compute,IP & Design,Pre-commercial,None,Seed,venture,24,,2026-04-06,06-Apr-26,Apr-26,2Q26,2026,Israel (Tel Aviv),"NFX, TPY Capital","Intel Capital, Korea Investment Partners, Deep33, Israel Innovation Authority",,"Intel Capital participating in a neutral-atom quantum seed is the cleanest signal that Intel (INTC) is hedging quantum across modalities — Intel's internal silicon-spin focus paired with this neutral-atom stake plus prior IonQ-adjacent positioning means Intel wants optionality across architectures. Comp set: Atom Computing and QuEra on neutral-atom peers, IonQ (IONQ) and Quantinuum on trapped-ion, Rigetti (RGTI) and IBM (IBM) on superconducting. Weizmann/Technion founder pedigree is the underwrite at seed stage.",https://siliconangle.com/2026/04/06/q-factor-emerges-24m-funding-next-big-bet-achieve-quantum-computing-advantage/
sifive,SiFive,"Provides commercial RISC-V CPU IP cores, with over 500 designs shipped and more than 10 billion cores in deployed silicon. Targets data center, AI, automotive, and embedded customers as a licensable alternative to ARM CPU IP.",Semiconductors,Fabless Design,IP & Design,High,US_CHIPS_Act,Series G,venture,400,3650,2026-04-09,09-Apr-26,Apr-26,2Q26,2026,USA (San Jose),Atreides Management,"Apollo Global Management, NVentures (NVIDIA), Point72 Turion, T. Rowe Price, Prosperity7 Ventures, Sutter Hill Ventures",,"Final private round before the long-telegraphed RISC-V IPO; NVIDIA strategic + Atreides lead reads as IPO syndicate forming. Comp framing is brutal: ARM (ARM) at >100B market cap is the public reference, and SiFive is being priced as the RISC-V challenger but with a fraction of ARM's design-win base and zero of its mobile-monopoly economics. Strategic argument is sovereignty — Chinese, European, and US export-control-sensitive customers all need a credible non-ARM option. SiFive IPO will be the cleanest read on whether RISC-V clears as an investable category.",https://www.sifive.com/press/sifive-raises-400-million-to-accelerate-high-performance-risc-v-data-center-solutions
impulse-space,Impulse Space,Builds in-space transportation vehicles — the Mira orbital tug for last-mile satellite delivery and Helios kick stage for direct-to-GEO transfers. Founded by former SpaceX propulsion lead Tom Mueller; targets commercial and national security in-space mobility.,Space,In-Orbit Services,,,US_DPA_Title_III,Series B,venture,150,,2024-10-01,1-Oct-24,Oct-24,4Q24,2024,"USA (Redondo Beach, CA)",Founders Fund,"Lux Capital, Spring Tide, DCVC, Airbus Ventures, Alumni Ventures, Balerion Space Ventures, RTX Ventures, Tamarack Global, 137 Ventures, Elysium, First Principles Group, Island Green, Overmatch, Trousdale Ventures",,"$150M Series B at Founders Fund-led pricing positions Impulse Space as the merchant in-space transportation alternative to SpaceX-captive logistics. Comp set: Astranis on small GEO, Astroscale (186A JP) on listed orbital services, D-Orbit on European peers — no listed US pure-play. RTX Ventures + Airbus Ventures + Lux on the syndicate signals defense in-space mobility is the load-bearing customer thesis. Mueller's SpaceX propulsion lineage is the technical moat; Helios Mars-class kickstage is the binary differentiator vs incumbent rideshare buses.",https://spacenews.com/impulse-space-raises-150-million/
all-space,ALL.SPACE,"Formerly Isotropic Systems. UK developer of multi-orbit user terminals — phased-array antennas that simultaneously track multiple satellites across LEO, MEO, and GEO orbits. Sells primarily to defense and government communications customers.",Space,Ground Systems & Antennas,,,UK_NSI_Act,Series C,venture,44,,2024-10-03,3-Oct-24,Oct-24,4Q24,2024,United Kingdom (Reading),BOKA Group,"Seraphim Space, AE Industrial Partners, Promus Ventures",,"Defense-led round (formerly Isotropic Systems) to commercialise multi-orbit user terminals; reflects continued Pentagon appetite for resilient, multi-constellation comms hardware.",https://spacenews.com/all-space-gets-44-million-to-debut-multi-orbit-terminal/
constellation-technologies-and-operations,Constellation Technologies & Operations,French very-low-earth-orbit 5G non-terrestrial-network broadband startup. State-supported play targeting European sovereignty in direct-to-cell connectivity against Starlink and Kuiper. Later rebranded Univity.,Space,Satellite Communications,,,None,Seed,venture,10.1,,2024-10-14,14-Oct-24,Oct-24,4Q24,2024,France (Saint-Quentin-en-Yvelines),Expansion,French Tech Seed (managed by Bpifrance),,"Heavily state-supported VLEO 5G NTN play; positions French sovereignty narrative against Starlink/Kuiper, but commercial proof points are years away.",https://spacenews.com/french-startup-gets-government-funds-for-vleo-broadband-constellation/
ororatech,OroraTech,"German operator of a thermal-infrared earth observation constellation focused on wildfire detection. Sells data and analytics to forestry agencies, insurers, and emergency management organizations.",Space,Earth Observation,,,None,Series B,venture,27,,2024-10-15,15-Oct-24,Oct-24,4Q24,2024,Germany (Munich),"Korys, European Circular Bioeconomy Fund (ECBF), Bayern Kapital",,,"Thermal-IR EO constellation focused on wildfire detection; strategically positioned at the intersection of climate-tech and EO budgets, both attracting cross-over capital.",https://www.satellitetoday.com/finance/2024/10/16/ororatech-raises-27m-to-further-wildfire-detection-constellation/
lumen-orbit,Lumen Orbit,Builds in-space data centers — orbital compute spacecraft designed for deployment on next-generation heavy-lift launchers. Y Combinator company; rebranded as Starcloud in 2025.,Space,Space Components,,,US_DPA_Title_III,Seed,venture,11,40,2024-12-11,11-Dec-24,Dec-24,4Q24,2024,"USA (Redmond, WA)",NFX,"Fuse.VC, Soma Capital, scout funds from Andreessen Horowitz and Sequoia",,"Highly oversubscribed YC seed (200+ VCs reportedly bid) for in-space data centres; thesis depends on launch costs collapsing and is unproven, but rounds like this seeded the 2025 'space DC' bubble. Rebranded Starcloud in 2025.",https://techcrunch.com/2024/12/11/200-vcs-wanted-to-get-into-lumen-orbits-11m-seed-round/
FLY,Firefly Aerospace,"Builds the Alpha small launch vehicle, the Blue Ghost lunar lander, and an in-space transportation vehicle (Elytra). The Blue Ghost Mission 1 successfully landed on the Moon in 2025. Public on NASDAQ (FLY) after a 2025 IPO.",Space,Launch,,,US_DPA_Title_III,Series D,venture,175,2000,2024-11-12,12-Nov-24,Nov-24,4Q24,2024,"USA (Cedar Park, TX)",RPM Ventures,"GiantLeap Capital, Human Element",FLY,Oversubscribed Series D at >$2B closed less than two months after CEO Jason Kim's installation; sets the stage for Blue Ghost lunar success and 2025 Nasdaq IPO at ~$5.5B.,https://techcrunch.com/2024/11/12/firefly-aerospace-readies-for-a-big-year-in-orbit-with-175m-d-round/
u-space,U-Space,French smallsat manufacturer scaling toward one-satellite-per-week production. Anchored by French sovereign capital; targets European policy push for independent constellation supply chains.,Space,Space Components,,,None,Series A,venture,25.9,,2024-11-12,12-Nov-24,Nov-24,4Q24,2024,France (Toulouse),"Blast, Definvest, Expansion","Primo Capital, Karot Capital, ARIS Venture Capital, Vertech Finance",,French sovereign-aligned smallsat manufacturer scaling toward one-sat-per-week cadence; capital reflects Europe's policy push to backstop independent constellation supply chains.,https://spacenews.com/french-startup-u-space-raises-24-million-for-smallsat-manufacting/
starfish-space,Starfish Space,Develops satellite servicing and docking technology for in-orbit life extension and inspection. Otter is the flagship servicing vehicle; won a US Space Force contract for an SDA-tier mission.,Space,In-Orbit Services,,,US_DPA_Title_III,Series B,venture,29,,2024-11-13,13-Nov-24,Nov-24,4Q24,2024,"USA (Tukwila, WA)",Shield Capital,"Point72 Ventures, Booz Allen Ventures, Aero X Ventures, Trousdale Ventures, TRAC VC, Munich Re Ventures, Toyota Ventures, NFX, Industrious Ventures",,Defense-led round to scale Otter satellite-servicing vehicles; brought total raised >$50M and dovetails with Starfish's Space Force Otter program contract awarded earlier in 2024.,https://techcrunch.com/2024/11/13/starfish-space-raises-29m-to-launch-satellite-servicing-spacecraft/
the-exploration-company,The Exploration Company,"Develops Nyx, a reusable orbital cargo vehicle designed as a European counterpart to SpaceX Dragon, with ISS service and free-flyer missions on the roadmap. First co-investment from French and German sovereign space funds.",Space,In-Orbit Services,,,None,Series B,venture,160,,2024-11-18,18-Nov-24,Nov-24,4Q24,2024,Germany (Munich),"Balderton Capital, Plural","Bessemer Venture Partners, NGP Capital, French Tech Souveraineté, DeepTech & Climate Fonds, Bayern Kapital, EQT Ventures, Red River West, Cherry Ventures, Orbital Ventures, Omnes Real Tech Fund, Promus Ventures",,Largest European space Series B on record; first co-investment from French and German sovereign funds (FTS + DTCF) signals coordinated EU effort to seed an indigenous SpaceX Dragon analogue.,https://spacenews.com/the-exploration-company-raises-160-million-for-nyx-cargo-vehicle/
turion-space,Turion Space,"Operates a constellation of maneuverable satellites for space domain awareness and non-Earth imaging. Holds 28 US government contracts across the Space Force, NASA, and NRO; first NOAA-licensed commercial NEI provider.",Space,In-Orbit Services,,,US_DPA_Title_III,Series A,venture,20,,2024-12-02,2-Dec-24,Dec-24,4Q24,2024,"USA (Irvine, CA)",Undisclosed,Veteran Ventures Capital,,Oversubscribed Series A focused on space domain awareness and non-Earth imaging via Droid micro-satellites; benefits from rising Pentagon spend on SDA and debris-related capabilities.,https://spaceinsider.tech/2024/12/02/veteran-ventures-capital-backs-turion-space-to-advance-space-domain-awareness-and-satellite-servicing/
pixxel,Pixxel,"Indian space company operating the Firefly hyperspectral satellite constellation. Sells hyperspectral imagery to agriculture, mining, energy, and government customers as the highest-funded hyperspectral pure-play globally.",Space,Earth Observation,,,None,Series B (extension),venture,24,,2024-12-09,9-Dec-24,Dec-24,4Q24,2024,India (Bangalore),Undisclosed,"M&G Catalyst, Glade Brook Capital Partners, Google, Radical Ventures, Lightspeed Venture Partners",,Series B extension to $60M ahead of the Firefly hyperspectral constellation launch in early 2025; positions Pixxel as the highest-funded hyperspectral pure-play globally and confirms institutional appetite for non-RGB EO.,https://www.satellitetoday.com/imagery-and-sensing/2024/12/09/pixxel-expands-series-b-funding-with-24m-investment/
iceye,ICEYE,"Operates the world's largest commercial synthetic aperture radar (SAR) satellite constellation. Sells imagery and analytics to defense, intelligence, and insurance customers, with growing NATO-aligned demand for all-weather, day-and-night earth observation.",Space,Earth Observation,,,EU_NZIA,Series D (extension),venture,65,,2024-12-12,12-Dec-24,Dec-24,4Q24,2024,Finland (Espoo),Undisclosed,"Solidium Oy, BlackRock, Seraphim, Plio Limited, Christo Georgiev",,"Extension of the April 2024 round, bringing 2024 total to $158M. Sovereign Solidium and BlackRock participation underscores ICEYE's pivot from purely commercial EO to a defense-grade SAR/ISR platform with NATO-aligned demand.",https://www.iceye.com/newsroom/press-releases/iceye-closes-65m-extension-to-existing-growth-funding-round-for-a-total-of-158m-raised-in-2024
genesat,Genesat,"Chinese state-aligned satellite manufacturer supplying spacecraft to the Qianfan ('Thousand Sails') megaconstellation, a Beijing-backed LEO broadband program positioned as a Starlink competitor.",Space,Satellite Communications,,,China_Made_In_China_2025;US_Export_Controls_China,Strategic,strategic_corporate,137,,2024-12-30,30-Dec-24,Dec-24,4Q24,2024,China (Shanghai),Undisclosed,"China's National Manufacturing Transformation and Upgrading Fund, China Development Bank Science and Technology Innovation, Guosheng Capital, SIMIC Capital, Shanghai FTZ Fund",,State-aligned capital backing the satellite manufacturing arm of the Qianfan ('Thousand Sails') megaconstellation; clear signal that Beijing is industrialising LEO-comms supply at scale to compete with Starlink.,https://spacenews.com/satellite-manufacturer-for-chinese-megaconstellation-secures-137-million-funding/
inversion-space,Inversion Space,Builds reentry vehicles for on-demand precision delivery of cargo from orbit. Holds a $71M STRATFI agreement with the US Space Force; targets defense logistics and rapid resupply applications.,Space,In-Orbit Services,,,US_DPA_Title_III,Series A,venture,44,,2024-11-20,20-Nov-24,Nov-24,4Q24,2024,"USA (Torrance, CA)","Spark Capital, Adjacent","Lockheed Martin Ventures, Kindred Ventures, Y Combinator",,Reentry vehicle for on-demand precision delivery from orbit. STRATFI agreement worth $71M with Space Force adds non-dilutive runway. Defense-tech reentry is becoming an investable wedge.,https://spacenews.com/inversion-space-raises-44-million/
gitai,GITAI,Builds space robotics for satellite servicing and lunar surface operations — robotic arms and rovers for in-orbit assembly and lunar exploration. Japanese-founded with US operations expanding for lunar demonstrations.,Space,In-Orbit Services,,,US_DPA_Title_III,Series B (extension),venture,15.5,,2024-11-13,13-Nov-24,Nov-24,4Q24,2024,"USA (Torrance, CA)",MZ Web3 Fund (Maezawa Fund),,,"On-orbit servicing and lunar robotic arms; total Series B Extension to $60.5M. NASA SBIR + DARPA orders signal traction in space-defense ecosystem. Originally Japanese, now US-based.",https://gitai.tech/2024/11/13/gitai-raises-an-additional-us15-5-million-in-funding/
form-energy,Form Energy,"Builds iron-air batteries for long-duration grid storage, using inexpensive iron as the active material to deliver 100-hour discharge at far lower cost per kWh than lithium-ion. Operating a gigafactory in Weirton, West Virginia with first commercial deployments in 2025.",Materials,Battery Materials,,,US_Critical_Minerals_List;US_DOE_LPO_Eligible,Series F,venture,405,,2024-10-09,9-Oct-24,Oct-24,4Q24,2024,"USA (Somerville, MA)",T. Rowe Price,"GE Vernova, TPG Rise Climate, Breakthrough Energy Ventures, Capricorn Technology Impact Fund, Coatue, Energy Impact Partners, The Engine Ventures, NGP Capital, Temasek, GIC, Prelude Ventures",,Iron-air long-duration storage developer using inexpensive iron metal as the active material; raise funds gigafactory ramp in West Virginia with first commercial deployments in 2025. Strategic collaboration MoU with GE Vernova accompanies the round.,https://formenergy.com/form-energy-secures-405m-in-series-f-financing-to-expand-iron-air-battery-business-and-operations/
phaseshift-technologies,Phaseshift Technologies,"Canadian AI-driven Rapid Alloy Design (RAD) platform for engineering new alloys and composites for aerospace, automotive, mining, and energy applications. Software-led materials discovery layer rather than a producer.",Materials,Structural Materials,,,None,Seed,venture,3,,2024-10-16,16-Oct-24,Oct-24,4Q24,2024,"Canada (Toronto, ON)",Innospark Ventures,"Draper Associates, First Star Ventures, Hustle Fund Angel Squad",,"AI-driven Rapid Alloy Design (RAD) platform for engineering new alloys and composites for aerospace, automotive, mining and energy applications; positions itself as a software-led materials discovery layer rather than a producer.",https://www.businesswire.com/news/home/20241016165581/en/Phaseshift-Technologies-Closes-US-3-CA-4.1-Million-Seed-Financing-to-Design-Next-Generation-Materials-Using-A.I.
anovion-technologies,Anovion Technologies,"Builds a first-of-a-kind synthetic graphite anode plant in Bainbridge, Georgia for US-domestic lithium-ion battery supply. Backed by a $117M DOE Bipartisan Infrastructure Law grant plus EXIM debt financing.",Materials,Battery Materials,,,US_Critical_Minerals_List;US_DOE_LPO_Eligible,Government investment,government,400,,2024-11-07,7-Nov-24,Nov-24,4Q24,2024,"USA (Bainbridge, GA)",Export-Import Bank of the United States (EXIM),,,Non-binding letter of interest under EXIM's Make More in America program for up to $400M in debt to back a first-of-a-kind synthetic graphite anode plant; complements an earlier $117M DOE BIL grant and is structured as project debt with a minimum 10-year tenor.,https://www.businesswire.com/news/home/20241107431126/en/Anovion-Technologies-Receives-Letter-of-Interest-for-Up-to-400-Million-in-Debt-Financing-from-Export-Import-Bank-of-the-United-States
tozero,tozero,"Munich-based lithium-ion battery recycler using a low-acid hydrometallurgical process. Building a first-of-a-kind plant scaling from 9 t/day toward 30,000 t/year by 2026; strategic backers include In-Q-Tel and Honda.",Materials,Battery Materials,,,EU_CRMA;EU_NZIA,Seed,venture,11.7,,2024-11-12,12-Nov-24,Nov-24,4Q24,2024,Germany (Munich),NordicNinja,"In-Q-Tel, Honda Xcelerator Ventures, JGC Group",,"Munich-based lithium-ion battery recycler using a low-acid hydrometallurgical process; In-Q-Tel and Honda anchor a strategic round to bridge to a first-of-a-kind industrial plant scaling from 9 t/day toward 30,000 t/year by 2026.",https://techcrunch.com/2024/11/11/as-demand-for-lithium-explodes-battery-recycling-startup-tozero-sprints-to-scale-with-11-7m-seed/
NVX,NOVONIX,"Manufactures synthetic graphite anode material for lithium-ion batteries, with a planned 31,500 tons/year US plant. Public on ASX and NASDAQ (NVX); supported by a conditional commitment from the DOE ATVM loan program.",Materials,Battery Materials,,,US_Critical_Minerals_List;US_DOE_LPO_Eligible,Government investment,government,754.8,,2024-12-16,16-Dec-24,Dec-24,4Q24,2024,"USA (Chattanooga, TN)",U.S. Department of Energy Loan Programs Office (ATVM),,,"Conditional commitment for a direct ATVM loan to fund a 31,500 t/yr synthetic graphite anode plant; structured in two tranches against a $943.6M total project cost and includes $62.8M of capitalized interest. Borrower is publicly listed (ASX/NASDAQ: NVX) but the discrete loan event materially de-risks the US graphite buildout.",https://www.energy.gov/edf/articles/lpo-announces-conditional-commitment-novonix-boost-synthetic-graphite-manufacturing
tenstorrent,Tenstorrent,"Designs RISC-V CPUs and AI processors and licenses the underlying IP, led by chip architect Jim Keller. Strategic investors include Hyundai/Kia (for automotive silicon) and Samsung Catalyst (foundry alignment). Targets a licensable AI-IP model comparable to ARM's CPU IP playbook.",Semiconductors,Frontier Compute,,,US_CHIPS_Act,Series D,venture,693.0,2693,2024-12-02,2-Dec-24,Dec-24,4Q24,2024,"USA (Santa Clara, CA)","Samsung Securities, AFW Partners","XTX Markets, Corner Capital, Protagonist Management, MESH Ventures, Export Development Canada, Healthcare of Ontario Pension Plan, LG Electronics, Hyundai Motor Group, Fidelity Management & Research, Baillie Gifford, Bezos Expeditions, Innovation Engine","NVDA, AMD","Largest chip-design VC round of 2024; pre-money $2B, post-money ~$2.7B. Open-source RISC-V AI accelerator strategy; Korean strategic capital (Samsung, LG, Hyundai) signals Asian hyperscalers seeking GPU alternatives.",https://www.prnewswire.com/news-releases/tenstorrent-closes-693m-of-series-d-funding-led-by-samsung-securities-and-afw-partners-302319584.html
lightmatter,Lightmatter,"Develops silicon photonic compute and interconnect products for AI and HPC workloads. Main products are Envise (photonic compute), Passage (optical interconnect for chiplets and racks), and Idiom (software stack). Targets the AI scale-up problem that NVIDIA NVLink and Broadcom Tomahawk address electronically.",Semiconductors,Frontier Compute,,,US_CHIPS_Act,Series D,venture,400.0,4400,2024-10-16,16-Oct-24,Oct-24,4Q24,2024,"USA (Boston, MA)",T. Rowe Price,"Fidelity Management & Research, GV (Google Ventures), HPE Pathfinder","NVDA, AMD",Photonic compute / 3D-stacked photonics for AI interconnect; valuation 4x'd from $1.2B (Dec 2023) to $4.4B in 10 months — purest comparable for Celestial AI / Ayar Labs / Xscape benchmarking.,https://www.businesswire.com/news/home/20241016498931/en/
ayar-labs,Ayar Labs,"Develops co-packaged optics (CPO) — silicon photonic chiplets integrated directly with compute and switch ASICs to replace copper interconnects in AI data centers. Strategic investors include AMD, NVIDIA, Intel, and MediaTek; manufactures at TSMC and GlobalFoundries.",Semiconductors,Frontier Compute,,,US_CHIPS_Act,Series D,venture,155.0,1000,2024-12-11,11-Dec-24,Dec-24,4Q24,2024,"USA (San Jose, CA)","Advent Global Opportunities, Light Street Capital","AMD Ventures, Intel Capital, NVIDIA, 3M Ventures, Autopilot","NVDA, AMD, INTC","Optical I/O for in-package photonics interconnect; first time AMD, Intel, and NVIDIA co-invested in same round — strongest possible signal that incumbents see photonic I/O as inevitable for AI scale-out.",https://ayarlabs.com/news/ayar-labs-155m-series-d-to-address-ai-infrastructure-includes-amd-intel-capital-nvidia/
enfabrica,Enfabrica,"Designs the Accelerated Compute Fabric Switch (ACF-S), a networking chip that disaggregates and scales memory and bandwidth across AI clusters. Targets hyperscale AI training and inference infrastructure, complementing rather than replacing networking silicon from Broadcom and NVIDIA.",Semiconductors,Frontier Compute,,,US_CHIPS_Act,Series C,venture,115.0,,2024-11-19,19-Nov-24,Nov-24,4Q24,2024,"USA (Mountain View, CA)",Spark Capital,"Arm, Cisco Investments, Maverick Silicon, Samsung Catalyst Fund, VentureTech Alliance, Atreides Management, Alumni Ventures, IAG Capital, Liberty Global Ventures, Sutter Hill Ventures, Valor Equity Partners, NVIDIA","ALAB, MRVL",AI networking silicon (3.2Tbps SuperNIC); NVIDIA-backed funding bridges to volume production of ACF SuperNIC chips in Q1 2025. Competes with Astera Labs (ALAB) / Marvell (MRVL) connectivity.,https://www.businesswire.com/news/home/20241119607725/en/
matx,MatX,"Designs custom AI ASICs optimized for transformer model training and inference. Targets large language model workloads at hyperscale, competing with NVIDIA GPUs and Google TPUs at the chip layer.",Semiconductors,Frontier Compute,,,US_CHIPS_Act,Series A,venture,80.0,300,2024-11-22,22-Nov-24,Nov-24,4Q24,2024,"USA (Mountain View, CA)",Spark Capital,,NVDA,LLM-specific training/inference chip from ex-Google TPU team; ~$300M post-money less than 9 months after $25M seed reflects continued scarcity premium for credible Nvidia training-chip alternatives.,https://techcrunch.com/2024/11/22/ai-chip-startup-matx-founded-by-google-alums-raises-series-a-at-300m-valuation-sources-say/
xscape-photonics,Xscape Photonics,"Develops silicon photonic components — laser-based optical interconnects — for data center and telecom applications. Competes with Ayar Labs, Intel Silicon Photonics, and Cisco in integrated photonics.",Semiconductors,Frontier Compute,,,US_CHIPS_Act,Series A,venture,44.0,,2024-10-15,15-Oct-24,Oct-24,4Q24,2024,"USA (New York, NY)",IAG Capital Partners,"Altair, Cisco Investments, Fathom Fund, Kyra Ventures, LifeX Ventures, NVIDIA, OUP",,Multi-color programmable photonics for AI data-center fabrics; brings total to $57M. Cisco + NVIDIA participation makes it a dual-strategic round — both networking and accelerator incumbents hedging into co-packaged optics.,https://www.businesswire.com/news/home/20241015348729/en/
sj-semiconductor,SJ Semiconductor,"12-inch middle-end-of-line foundry in Jiangyin, China specializing in advanced packaging — bumping, redistribution layer (RDL), and interposer services for chiplet integration. Positioned as a domestic alternative to TSMC CoWoS capacity for Chinese fabless customers.",Semiconductors,OSAT / Packaging & Test,,,China_Big_Fund;US_Export_Controls_China,Strategic,strategic_corporate,700.0,,2024-12-31,31-Dec-24,Dec-24,4Q24,2024,China (Jiangyin),Wuxi Chanfa Science and Technology Innovation Fund,"Jiangyin Binjiang Chengyuan Investment Group, Fortera Capital, Shanghai International Group, Lingang Xinxin Fund, Lingang Shuke Fund, Social Security Fund Zhongguancun Independent Innovation Fund, China Life Private Equity Investment, Golden Link",,12-inch mid-end-of-line advanced packaging foundry; state-aligned investor syndicate signals Beijing's continued substitution push for advanced packaging amid US export controls. Pre-IPO round; native CNY size ~5bn.,https://www.prnewswire.com/news-releases/sjsemi-closed-700m-new-financing-to-further-boost-its-advanced-packaging-projects-302340626.html
akhetonics,Akhetonics,German developer of an all-optical (no electrical CMOS) processor designed in legacy 90-250nm photonic process nodes for cost reasons. Contrarian bet on pure-photonic compute versus hybrid electro-photonic peers.,Semiconductors,Frontier Compute,,,EU_Chips_Act,Seed,venture,6.33,,2024-11-28,28-Nov-24,Nov-24,4Q24,2024,Germany (Berlin),Matterwave Ventures,"468 Capital, Bayern Kapital",,"All-optical (no electrical CMOS) processor; contrarian bet vs hybrid electro-photonic peers. Designs in legacy 90-250nm nodes for low cost. Deep tech, far from revenue — track for technical milestones not commercial uptake.",https://techcrunch.com/2024/11/28/akhetonics-gets-fresh-funding-for-a-contrarian-bet-on-all-optical-chips/
opticore,Opticore,Develops Optical Processing Units (OPUs) — photonic compute chips targeting the high-bandwidth memory wall in AI workloads.,Semiconductors,Frontier Compute,,,US_CHIPS_Act,Seed,venture,5.0,,2024-12-19,19-Dec-24,Dec-24,4Q24,2024,USA,"Jetha Global, Origin Ventures","Sagax Capital, Bioeconomy.XYZ",,Optical processing units (OPUs) / photonic compute targeting HBM-bandwidth memory wall; very early-stage. Initial seed close 12/19; publicly announced 12/27. Subsequent extension brought total to $14.5M (later 2025).,https://theaiinsider.tech/2024/12/29/opticore-raises-5m-seed-funding-to-deliver-optical-gpus-for-100x-lower-energy-ai-computing/
ubitium,Ubitium,"German developer of a universal RISC-V processor that combines CPU, GPU, DSP, and FPGA workloads on a single workload-agnostic microarchitecture. First chips planned for 2026.",Semiconductors,Fabless Design,,,EU_Chips_Act,Seed,venture,3.7,,2024-11-21,21-Nov-24,Nov-24,4Q24,2024,Germany (Düsseldorf),"Runa Capital, Inflection.xyz, KBC Focus Fund",,,Universal RISC-V processor combining CPU/GPU/DSP/FPGA workloads on a single workload-agnostic microarchitecture. Very early; first chips planned 2026. Long-tail bet against specialization-driven chiplet trend.,https://www.globenewswire.com/news-release/2024/11/21/2985136/0/en/Ubitium-Debuts-First-Universal-RISC-V-Processor-to-Enable-AI-at-No-Additional-Cost-as-It-Raises-3-7M.html
alpha-design-ai,Alpha Design AI,"Builds ChipAgents — AI agents for RTL design, debug, and verification. Founded by a UCSB AI/LLM researcher; part of the AI-for-EDA category alongside Cognichip.",Semiconductors,EDA & IP,,,US_CHIPS_Act,Pre-Seed,venture,3.09,,2024-10-15,15-Oct-24,Oct-24,4Q24,2024,"USA (Santa Barbara, CA)",ScOp Venture Capital,"Impact Assets, Amino Capital",,"AI agents (ChipAgents) for RTL design, debug, and verification — part of broader AI-for-EDA category alongside Cognichip. Founded by UCSB AI/LLM researcher; thesis is 10x productivity for chip designers.",https://www.finsmes.com/2024/10/chipagents-raises-3-09m-in-pre-seed-funding.html
